type,title,country,date_added,release_year,rating,duration,listed_in,duration_minutes,rating_encoded,genres,Cluster
Movie,InuYasha the Movie: Affections Touching Across Time,Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",100,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
TV Show,Nailed It,United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,360,12,['Reality TV'],1
Movie,Naruto Shippuden the Movie: Blood Prison,Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",102,9,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto Shippûden the Movie: Bonds,Japan,"September 15, 2021",2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",93,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,"September 15, 2021",2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",96,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto Shippuden: The Movie,Japan,"September 15, 2021",2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",85,9,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",97,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,"September 15, 2021",2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,"September 15, 2021",2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",83,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,Nightbooks,,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,103,12,['Children & Family Movies'],4
TV Show,Numberblocks,United Kingdom,"September 15, 2021",2021,TV-Y,6 Seasons,Kids' TV,360,13,"[""Kids' TV""]",1
TV Show,Raja Rasoi Aur Anya Kahaniyan,India,"September 15, 2021",2014,TV-G,1 Season,"Docuseries, International TV Shows",60,10,"['Docuseries', 'International TV Shows']",1
TV Show,Saved by the Bell,United States,"September 15, 2021",1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",540,12,"[""Kids' TV"", 'TV Comedies']",1
Movie,Schumacher,,"September 15, 2021",2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",113,9,"['Documentaries', 'International Movies', 'Sports Movies']",3
TV Show,Stories by Rabindranath Tagore,India,"September 15, 2021",2015,TV-PG,1 Season,"International TV Shows, TV Dramas",60,12,"['International TV Shows', 'TV Dramas']",1
TV Show,Too Hot To Handle: Latino,,"September 15, 2021",2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",60,11,"['International TV Shows', 'Reality TV', 'Romantic TV Shows']",1
Movie,A StoryBots Space Adventure,,"September 14, 2021",2021,TV-Y,13 min,Children & Family Movies,13,13,['Children & Family Movies'],4
TV Show,Jack Whitehall: Travels with My Father,United Kingdom,"September 14, 2021",2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",300,11,"['British TV Shows', 'Docuseries', 'International TV Shows']",1
Movie,King of Boys,Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies",182,11,"['Dramas', 'International Movies']",4
TV Show,The World's Most Amazing Vacation Rentals,,"September 14, 2021",2021,TV-PG,2 Seasons,Reality TV,120,12,['Reality TV'],1
Movie,You vs. Wild: Out Cold,,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,106,10,['Children & Family Movies'],4
TV Show,Yowamushi Pedal,Japan,"September 14, 2021",2013,TV-14,1 Season,"Anime Series, International TV Shows",60,9,"['Anime Series', 'International TV Shows']",1
Movie,Little Singham - Black Shadow,,"September 11, 2021",2021,TV-Y7,48 min,"Children & Family Movies, Comedies",48,14,"['Children & Family Movies', 'Comedies']",4
Movie,Tughlaq Durbar,,"September 11, 2021",2020,TV-14,145 min,"Comedies, Dramas, International Movies",145,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Tughlaq Durbar (Telugu),,"September 11, 2021",2021,TV-14,145 min,"Comedies, Dramas, International Movies",145,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Firedrake the Silver Dragon,,"September 10, 2021",2021,TV-Y7,93 min,Children & Family Movies,93,14,['Children & Family Movies'],4
Movie,Kate,United States,"September 10, 2021",2021,R,106 min,Action & Adventure,106,8,['Action & Adventure'],4
TV Show,Lucifer,United States,"September 10, 2021",2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",360,9,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']",1
TV Show,Metal Shop Masters,,"September 10, 2021",2021,TV-MA,1 Season,Reality TV,60,11,['Reality TV'],1
Movie,Omo Ghetto: the Saga,Nigeria,"September 10, 2021",2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",147,11,"['Action & Adventure', 'Comedies', 'Dramas']",4
TV Show,Pokémon Master Journeys: The Series,,"September 10, 2021",2021,TV-Y7,1 Season,"Anime Series, Kids' TV",60,14,"['Anime Series', ""Kids' TV""]",1
Movie,Prey,,"September 10, 2021",2021,TV-MA,87 min,"International Movies, Thrillers",87,11,"['International Movies', 'Thrillers']",4
TV Show,Titipo Titipo,,"September 10, 2021",2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",120,13,"[""Kids' TV"", 'Korean TV Shows']",2
Movie,Blood Brothers: Malcolm X & Muhammad Ali,,"September 9, 2021",2021,PG-13,96 min,"Documentaries, Sports Movies",96,7,"['Documentaries', 'Sports Movies']",3
TV Show,Mighty Raju,,"September 9, 2021",2017,TV-Y7,4 Seasons,Kids' TV,240,14,"[""Kids' TV""]",1
Movie,Paradise Hills,"Spain, United States","September 9, 2021",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",95,11,"['Sci-Fi & Fantasy', 'Thrillers']",4
Movie,The Women and the Murderer,France,"September 9, 2021",2021,TV-14,92 min,"Documentaries, International Movies",92,9,"['Documentaries', 'International Movies']",3
TV Show,Into the Night,Belgium,"September 8, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",120,11,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
Movie,JJ+E,,"September 8, 2021",2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",91,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Show Dogs,"United Kingdom, United States","September 8, 2021",2018,PG,90 min,"Children & Family Movies, Comedies",90,6,"['Children & Family Movies', 'Comedies']",4
TV Show,The Circle,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,180,11,['Reality TV'],1
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals",97,11,"['Documentaries', 'Music & Musicals']",3
TV Show,Kid Cosmic,United States,"September 7, 2021",2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",120,14,"[""Kids' TV"", 'TV Comedies', 'TV Sci-Fi & Fantasy']",1
TV Show,Octonauts: Above & Beyond,United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV",60,13,"['British TV Shows', ""Kids' TV""]",1
TV Show,On the Verge,"France, United States","September 7, 2021",2021,TV-MA,1 Season,"TV Comedies, TV Dramas",60,11,"['TV Comedies', 'TV Dramas']",1
TV Show,Tobot Galaxy Detectives,,"September 7, 2021",2019,TV-Y7,2 Seasons,Kids' TV,120,14,"[""Kids' TV""]",1
Movie,Untold: Breaking Point,United States,"September 7, 2021",2021,TV-MA,80 min,"Documentaries, Sports Movies",80,11,"['Documentaries', 'Sports Movies']",3
TV Show,Countdown: Inspiration4 Mission to Space,,"September 6, 2021",2021,TV-14,1 Season,"Docuseries, Science & Nature TV",60,9,"['Docuseries', 'Science & Nature TV']",1
Movie,Shadow Parties,,"September 6, 2021",2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",117,11,"['Dramas', 'International Movies', 'Thrillers']",4
TV Show,Tayo the Little Bus,South Korea,"September 6, 2021",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",120,13,"[""Kids' TV"", 'Korean TV Shows']",2
Movie,Angamaly Diaries,India,"September 5, 2021",2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",128,9,"['Action & Adventure', 'Comedies', 'Dramas']",4
TV Show,Bunk'd,United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",300,10,"[""Kids' TV"", 'TV Comedies']",1
Movie,A Champion Heart,United States,"September 4, 2021",2018,G,90 min,"Children & Family Movies, Dramas",90,3,"['Children & Family Movies', 'Dramas']",4
TV Show,Dive Club,Australia,"September 3, 2021",2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",60,10,"[""Kids' TV"", 'TV Dramas', 'Teen TV Shows']",1
TV Show,La casa de papel,Spain,"September 3, 2021",2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",300,11,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",1
TV Show,Money Heist: From Tokyo to Berlin,,"September 3, 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",60,11,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']",1
TV Show,Sharkdog,"United States, Singapore","September 3, 2021",2021,TV-Y,1 Season,Kids' TV,60,13,"[""Kids' TV""]",1
Movie,Worth,,"September 3, 2021",2021,PG-13,119 min,Dramas,119,7,['Dramas'],4
Movie,Afterlife of the Party,,"September 2, 2021",2021,TV-PG,110 min,"Comedies, Romantic Movies",110,12,"['Comedies', 'Romantic Movies']",4
Movie,Anjaam,India,"September 2, 2021",1994,TV-14,143 min,"Dramas, International Movies, Thrillers",143,9,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Bright Star,"United Kingdom, Australia, France","September 2, 2021",2009,PG,119 min,"Dramas, Romantic Movies",119,6,"['Dramas', 'Romantic Movies']",4
Movie,Dhanak,India,"September 2, 2021",2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",114,12,"['Comedies', 'Dramas', 'Independent Movies']",4
Movie,Final Account,"United Kingdom, United States","September 2, 2021",2021,PG-13,94 min,Documentaries,94,7,['Documentaries'],3
Movie,Gurgaon,India,"September 2, 2021",2017,TV-14,106 min,"Dramas, International Movies, Thrillers",106,9,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Here and There,,"September 2, 2021",2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",99,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
TV Show,Heroes of Goo Jit Zu,Australia,"September 2, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",60,14,"[""Kids' TV"", 'TV Comedies']",1
TV Show,Hotel Del Luna,,"September 2, 2021",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",60,9,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",1
Movie,In the Cut,"United Kingdom, Australia, France, United States","September 2, 2021",2003,R,118 min,Thrillers,118,8,['Thrillers'],4
TV Show,Luv Kushh,,"September 2, 2021",2012,TV-Y7,1 Season,Kids' TV,60,14,"[""Kids' TV""]",1
TV Show,Pororo - The Little Penguin,South Korea,"September 2, 2021",2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",180,14,"[""Kids' TV"", 'Korean TV Shows']",2
TV Show,Q-Force,United States,"September 2, 2021",2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",60,11,"['Crime TV Shows', 'TV Action & Adventure', 'TV Comedies']",1
Movie,Shikara,India,"September 2, 2021",2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",115,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,A Cinderella Story,"United States, Canada","September 1, 2021",2004,PG,95 min,"Children & Family Movies, Comedies",95,6,"['Children & Family Movies', 'Comedies']",4
Movie,Agatha Christie's Crooked House,,"September 1, 2021",2017,PG-13,115 min,"Dramas, International Movies, Thrillers",115,7,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,An Unfinished Life,"Germany, United States","September 1, 2021",2005,PG-13,108 min,Dramas,108,7,['Dramas'],4
Movie,Barbie Big City Big Dreams,,"September 1, 2021",2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",63,13,"['Children & Family Movies', 'Music & Musicals']",4
Movie,Blade Runner: The Final Cut,United States,"September 1, 2021",1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",117,8,"['Action & Adventure', 'Classic Movies', 'Cult Movies']",4
TV Show,Brave Animated Series,,"September 1, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",60,11,"['International TV Shows', 'TV Action & Adventure', 'TV Comedies']",1
Movie,Chappie,"South Africa, United States","September 1, 2021",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",121,8,"['Action & Adventure', 'Sci-Fi & Fantasy']",4
Movie,Clear and Present Danger,"United States, Mexico","September 1, 2021",1994,PG-13,142 min,"Action & Adventure, Dramas",142,7,"['Action & Adventure', 'Dramas']",4
Movie,Cliffhanger,"United States, Italy, France, Japan","September 1, 2021",1993,R,113 min,Action & Adventure,113,8,['Action & Adventure'],4
Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,154 min,"Dramas, Romantic Movies",154,8,"['Dramas', 'Romantic Movies']",4
Movie,Crocodile Dundee in Los Angeles,"Australia, United States","September 1, 2021",2001,PG,95 min,"Action & Adventure, Comedies",95,6,"['Action & Adventure', 'Comedies']",4
Movie,Dear John,United States,"September 1, 2021",2010,PG-13,108 min,"Dramas, Romantic Movies",108,7,"['Dramas', 'Romantic Movies']",4
Movie,Do the Right Thing,United States,"September 1, 2021",1989,R,120 min,"Classic Movies, Comedies, Dramas",120,8,"['Classic Movies', 'Comedies', 'Dramas']",4
Movie,"El patrón, radiografía de un crimen","Argentina, Venezuela","September 1, 2021",2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",100,11,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Extraction,"United States, United Kingdom, Canada","September 1, 2021",2015,R,82 min,Action & Adventure,82,8,['Action & Adventure'],4
Movie,Freedom Writers,"Germany, United States","September 1, 2021",2007,PG-13,124 min,Dramas,124,7,['Dramas'],4
Movie,Green Lantern,United States,"September 1, 2021",2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",114,7,"['Action & Adventure', 'Sci-Fi & Fantasy']",4
Movie,House Party,United States,"September 1, 2021",1990,R,104 min,"Comedies, Cult Movies",104,8,"['Comedies', 'Cult Movies']",4
Movie,House Party 2,United States,"September 1, 2021",1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",94,8,"['Comedies', 'Cult Movies', 'Music & Musicals']",4
Movie,House Party 3,United States,"September 1, 2021",1994,R,94 min,"Comedies, Music & Musicals",94,8,"['Comedies', 'Music & Musicals']",4
TV Show,How to Be a Cowboy,,"September 1, 2021",2021,TV-PG,1 Season,Reality TV,60,12,['Reality TV'],1
TV Show,HQ Barbers,,"September 1, 2021",2020,TV-14,1 Season,TV Shows,60,9,['TV Shows'],4
Movie,I Got the Hook Up,United States,"September 1, 2021",1998,R,93 min,"Action & Adventure, Comedies",93,8,"['Action & Adventure', 'Comedies']",4
Movie,In Too Deep,United States,"September 1, 2021",1999,R,97 min,Thrillers,97,8,['Thrillers'],4
Movie,Initial D,"China, Hong Kong","September 1, 2021",2005,TV-14,109 min,"Action & Adventure, International Movies",109,9,"['Action & Adventure', 'International Movies']",4
Movie,Janoskians: Untold and Untrue,United States,"September 1, 2021",2016,TV-MA,88 min,Comedies,88,11,['Comedies'],4
TV Show,Kid-E-Cats,Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,120,13,"[""Kids' TV""]",1
TV Show,Kuroko's Basketball,Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",180,11,"['Anime Series', 'International TV Shows', 'Teen TV Shows']",1
Movie,Labyrinth,"United Kingdom, United States","September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",101,6,"['Action & Adventure', 'Children & Family Movies', 'Cult Movies']",4
Movie,Letters to Juliet,United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies",105,6,"['Comedies', 'Dramas', 'Romantic Movies']",4
Movie,Level 16,Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",102,9,"['Sci-Fi & Fantasy', 'Thrillers']",4
Movie,Love Don't Cost a Thing,United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies",101,7,"['Comedies', 'Romantic Movies']",4
Movie,Love in a Puff,Hong Kong,"September 1, 2021",2010,TV-MA,103 min,"Comedies, Dramas, International Movies",103,11,"['Comedies', 'Dramas', 'International Movies']",4
TV Show,Major Dad,United States,"September 1, 2021",1992,TV-PG,4 Seasons,TV Comedies,240,12,['TV Comedies'],1
Movie,Mars Attacks!,United States,"September 1, 2021",1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",106,7,"['Comedies', 'Cult Movies', 'Sci-Fi & Fantasy']",4
Movie,Marshall,"United States, China, Hong Kong","September 1, 2021",2017,PG-13,118 min,Dramas,118,7,['Dramas'],4
Movie,My Boss's Daughter,United States,"September 1, 2021",2003,R,86 min,"Comedies, Romantic Movies",86,8,"['Comedies', 'Romantic Movies']",4
Movie,Mystery Men,United States,"September 1, 2021",1999,PG-13,121 min,"Action & Adventure, Comedies",121,7,"['Action & Adventure', 'Comedies']",4
TV Show,Oldsters,,"September 1, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",60,11,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",1
